As Of Date,PDPOSGST-TOT,PDPOSCS-TOT,PDPOSMBS-TOT,PDPOSFGS-TOT,PDPOSABS-TOT,PDPOSSMGO-TOT
2013-04-03,108014,31552,114017,47186,21091,22829
2013-04-10,137924,31833,118317,51348,19239,27426
2013-04-17,111319,30955,117740,57283,19273,25707
2013-04-24,126947,30380,109485,59573,18397,23334
2013-05-01,109376,31497,116271,63131,18719,22398
2013-05-08,116301,34958,121142,60858,17826,22601
2013-05-15,94511,35031,111081,59980,18506,21778
2013-05-22,70064,37466,111621,48658,19264,20206
2013-05-29,95316,33794,101436,43584,18540,18298
2013-06-05,92461,34088,95824,49158,19612,18514
2013-06-12,92289,34018,90679,48429,19386,17768
2013-06-19,68033,37760,95038,44562,20207,17058
2013-06-26,83635,30874,98601,30767,18778,14044
2013-07-03,86925,30143,94699,32211,18265,11934
2013-07-10,77440,27325,97069,27743,18928,13544
2013-07-17,63001,27261,91481,28290,18191,12922
2013-07-24,104269,27628,91372,29578,17760,13977
2013-07-31,96962,26915,86642,30708,17451,14524
2013-08-07,113542,28435,88383,34192,18769,15456
2013-08-14,106315,30251,89201,38432,17698,14283
2013-08-21,81998,24045,88117,27608,17195,14452
2013-08-28,100733,22981,84125,27436,17059,14447
2013-09-04,116371,24622,80717,29932,17123,12398
2013-09-11,126831,32396,76451,30198,17679,12254
2013-09-18,110669,29565,78849,24988,18001,13633
2013-09-25,93201,33582,79047,30650,18496,13193
2013-10-02,80808,34160,80654,37329,17431,10185
2013-10-09,122057,38967,86629,48118,17587,13226
2013-10-16,145999,37846,77554,40779,17826,14598
2013-10-23,108318,33905,79104,31409,18119,14287
2013-10-30,102520,33311,78748,30854,17225,13949
2013-11-06,103364,36178,86519,29848,17299,12853
2013-11-13,110629,34155,91362,30073,17522,14225
2013-11-20,101271,39163,88568,31433,17875,14884
2013-11-27,99696,39028,92339,29417,17260,14915
2013-12-04,75355,39620,96670,29205,17290,12836
2013-12-11,77592,40580,95264,30072,17602,14774
2013-12-18,77913,41780,96765,28956,17524,13580
2013-12-25,72466,34933,94377,25852,17350,13541
2014-01-01,44191,29190,92601,20459,17114,12085
2014-01-08,60495,32588,96516,24459,17500,11427
2014-01-15,47267,36043,90385,28397,17810,11642
2014-01-22,51397,40275,88360,28832,17513,12012
2014-01-29,39039,38419,93784,27815,18574,13542
2014-02-05,41442,38096,90900,29671,17969,11582
2014-02-12,47866,37330,94843,25291,18522,12594
2014-02-19,49130,37011,96260,28044,18270,10641
2014-02-26,60147,34942,93051,18759,18055,11458
2014-03-05,65276,45923,87270,29043,17390,12598
2014-03-12,69571,43496,85195,33400,17298,12753
2014-03-19,50061,39061,89089,33306,17083,12067
2014-03-26,43167,32078,91933,27247,16328,11172
2014-04-02,44526,31177,85983,33886,15656,9803
2014-04-09,58046,33607,84644,32762,16098,12372
2014-04-16,35245,37143,91326,38356,16436,15447
2014-04-23,31635,30814,86740,32942,16047,13210
2014-04-30,41032,32136,83313,29800,15770,13044
2014-05-07,22355,33675,84205,34880,15883,12884
2014-05-14,28053,36821,79043,36545,16004,13664
2014-05-21,24225,34046,80857,37578,15522,13906
2014-05-28,50417,35539,83787,40565,15446,12893
2014-06-04,56175,36947,80452,40404,15697,13044
2014-06-11,62782,38147,78820,47516,15976,14761
2014-06-18,33298,39889,78598,42336,16254,15205
2014-06-25,53867,37037,79297,37033,16471,13381
2014-07-02,19298,40285,79498,34197,15945,11257
2014-07-09,27712,36487,74477,38955,15767,12180
2014-07-16,18346,37751,80633,44800,16088,13446
2014-07-23,36291,37205,83025,38492,16974,16102
2014-07-30,21631,37195,86359,35971,17073,15020
2014-08-06,30502,33020,85452,38819,18539,12503
2014-08-13,38813,37488,87676,35401,17496,12033
2014-08-20,42886,35976,81525,27033,16188,12129
2014-08-27,52563,34815,85632,26687,15823,11860
2014-09-03,38163,33186,81851,29530,15622,9855
2014-09-10,48860,38566,80090,28486,15710,10687
2014-09-17,36316,38648,79837,30962,16176,11423
2014-09-24,27787,34151,80158,28017,16288,11532
2014-10-01,16893,34725,80872,33691,16075,10321
2014-10-08,35915,38069,78072,38788,16802,11496
2014-10-15,63814,33273,92891,45654,17000,12563
2014-10-22,50190,28603,94502,44505,16544,14219
2014-10-29,46312,31882,95185,32304,16348,14418
2014-11-05,48330,32173,93423,34723,16080,15446
2014-11-12,68519,32973,89529,38286,16076,15147
2014-11-19,47417,33682,86897,32681,17900,16963
2014-11-26,52991,32509,90961,32867,16550,15228
2014-12-03,37722,26022,91475,30916,16519,14980
2014-12-10,51806,35067,97908,35328,16832,17179
2014-12-17,44092,33539,103412,33922,17237,16681
2014-12-24,35605,28347,97887,27570,16366,14974
2014-12-31,7823,23107,99930,22212,15998,13376
2015-01-07,14562,30063,98578,29771,15543,12830
2015-01-14,29508,28925,90410,33049,16130,12481
2015-01-21,24527,24155,95074,28479,15541,13044
2015-01-28,19513,24620,98048,26281,15594,13730
2015-02-04,21561,23356,89209,29161,14648,15536
2015-02-11,33371,21102,84231,30940,13797,15344
2015-02-18,37259,21544,84728,27735,14250,14051
2015-02-25,32341,25058,88288,24514,13955,13231
2015-03-04,22071,23699,84321,25496,13779,13457
2015-03-11,44230,30818,84836,32607,14358,15306
2015-03-18,28994,30306,91717,27724,14896,16148
2015-03-25,29629,27533,95798,29379,14745,17080
2015-04-01,14730,25925,93778,28168,14098,16435
2015-04-08,31261,24623,98619,31050,13681,17768
2015-04-15,27613,27760,95213,32039,14734,20904
2015-04-22,19396,25030,95242,32879,15159,24623
2015-04-29,23338,26596,93140,28362,14390,23873
2015-05-06,24856,22883,89279,29778,14967,23127
2015-05-13,33214,30654,85767,28652,15562,22668
2015-05-20,22857,27736,86337,21526,15616,20588
2015-05-27,30281,28542,88540,20309,15729,18635
2015-06-03,29518,27998,104025,20927,16321,18060
2015-06-10,32170,32057,106006,26763,16219,20798
2015-06-17,14907,30661,105622,22244,16235,18559
2015-06-24,30049,26247,107675,19685,16006,18434
2015-07-01,9264,24469,103855,16351,15328,16422
2015-07-08,21917,26830,100937,20272,14826,14965
2015-07-15,22741,27702,101631,17853,16737,15078
2015-07-22,42036,24418,99771,21207,15538,16339
2015-07-29,69251,25978,106080,19533,16185,16691
2015-08-05,45341,22694,105996,19018,15570,16473
2015-08-12,62374,23356,107183,25540,16975,16126
2015-08-19,57111,21745,107912,23171,16891,15365
2015-08-26,78694,21576,107778,27682,16421,15737
2015-09-02,65999,20983,108509,27346,16148,15491
2015-09-09,91823,20142,108630,24544,15821,15380
2015-09-16,67119,19037,107750,22695,15196,16192
2015-09-23,86167,18748,110886,17056,14727,16515
2015-09-30,50804,13120,108424,13190,14567,14980
2015-10-07,68107,18540,108405,22074,14779,15525
2015-10-14,66537,16774,111486,25386,15356,15584
2015-10-21,56057,13752,95265,23888,14992,17146
2015-10-28,65103,6533,93799,20745,14683,16484
2015-11-04,53838,15083,88999,23488,14470,16302
2015-11-11,65812,16975,83459,27194,14136,16239
2015-11-18,44415,17667,84608,22707,14062,16647
2015-11-25,71834,20895,83895,32901,13545,16042
2015-12-02,53693,18858,88450,25614,13028,15711
2015-12-09,59914,24880,87895,19091,13249,17215
2015-12-16,57164,19756,88294,15546,13199,16915
2015-12-23,52531,17724,91691,13773,12705,15959
2015-12-30,47423,11117,90229,11655,12347,15384
2016-01-06,74511,17227,88880,15012,12271,14215
2016-01-13,85061,20472,98536,20289,12035,15267
2016-01-20,90489,21583,105364,18169,12261,15702
2016-01-27,106407,19540,92946,15374,11334,15697
2016-02-03,107154,17870,95054,18362,10961,14896
2016-02-10,113510,16622,92157,23581,11073,16592
2016-02-17,119837,16354,89677,26042,11737,17326
2016-02-24,110461,12903,88488,18977,12203,16999
2016-03-02,93930,17641,84351,20513,11762,17521
2016-03-09,110261,17508,77762,17239,11280,18325
2016-03-16,92478,14428,77269,18331,10750,19762
2016-03-23,75885,12756,73583,15648,10477,21724
2016-03-30,71392,13791,76069,15124,9597,19999
2016-04-06,78773,14979,88048,21035,9058,17420
2016-04-13,90011,15852,88933,23138,8756,18972
2016-04-20,82997,15833,85310,17231,8138,19302
2016-04-27,78280,13066,81326,17260,8429,19225
2016-05-04,78383,17179,85263,19060,7944,18977
2016-05-11,94240,17268,73316,25607,8297,19753
2016-05-18,71959,18502,72303,21571,8292,19753
2016-05-25,82372,15916,70167,17307,8224,21358
2016-06-01,72962,19456,69527,18600,9292,20889
2016-06-08,81018,22842,75475,20661,9901,23050
2016-06-15,88634,26135,84987,25039,9565,22767
2016-06-22,100090,21283,86266,26771,9625,22247
2016-06-29,92666,15629,91667,19444,9158,21262
2016-07-06,99988,15940,92096,23734,8873,18976
2016-07-13,99826,14495,86287,26976,9348,21312
2016-07-20,86900,17191,87500,23252,9720,22202
2016-07-27,92600,17067,93011,20853,9651,20094
2016-08-03,89355,17639,95882,25096,9530,19666
2016-08-10,105946,19169,92324,21891,9072,21019
2016-08-17,83071,19724,76599,18211,8962,21861
2016-08-24,96171,17634,78021,21219,8502,22127
