Key Id,Label,Series Break
PDPOSMBS-TOT,Total -  Mortgage-backed Securities: Federal Agency and GSE MBS: Long - Mortgage-backed Securities: Federal Agency and GSE MBS: Short,SBN2024
PDPOSABS-TOT,Total - ASSET-BACKED SECURITIES - LONG. - ASSET-BACKED SECURITIES - SHORT.,SBN2024
PDPOSCS-TOT,Total - CORPORATE SECURITIES  DEALER POSITION - LONG. - CORPORATE SECURITIES:  DEALER POSITION - SHORT.,SBN2024
PDPOSFGS-TOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) -  DEALER POSITION - LONG - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - :  DEALER POSITION - SHORT,SBN2024
PDPOSSMGO-TOT,Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS :  DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS :  DEALER POSITION - SHORT.,SBN2024
PDPOSGST-TOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) :  DEALER POSITION - LONG. - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) :  DEALER POSITION - SHORT.,SBN2024
PDTRAB-TOT,Total - ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH INTER-DEALER BROKERS. + ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH OTHER.,SBN2024
PDABTOT,Total - ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH INTER-DEALER BROKERS. + ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH OTHER.,SBN2024
PDCSTOT,Total - CORPORATE SECURITIES:  TRANSACTIONS WITH INTER-DEALER BROKERS + Total - CORPORATE SECURITIES: TRANSACTIONS WITH OTHERS,SBN2024
PDTRCS-TOT,Total - CORPORATE SECURITIES:  TRANSACTIONS WITH INTER-DEALER BROKERS + Total - CORPORATE SECURITIES: TRANSACTIONS WITH OTHERS,SBN2024
PDFGSXMTOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH OTHERS,SBN2024
PDTRFGSXM-TOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH OTHERS,SBN2024
PDTRGS-FRN,FLOATING RATE NOTES: DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + FLOATING RATE NOTES: DEALER TRANSACTIONS WITH OTHERS,SBN2024
PDTRMBS-TOT,Total - Mortgage-backed Securities: With Inter-dealer Brokers + Total - Mortgage-backed Securities: With Others,SBN2024
PDMBSTOT,Total - Mortgage-backed Securities: With Inter-dealer Brokers + Total - Mortgage-backed Securities: With Others,SBN2024
PDTRSMGO-TOT,Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH INTER-DEALER BROKERS + Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH OTHERS,SBN2024
PDMGOTOT,Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH INTER-DEALER BROKERS + Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH OTHERS,SBN2024
PDTIPSTOT,Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH OTHERS,SBN2024
PDTRGST-TOT,Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH OTHERS,SBN2024
PDGSWOEXTTOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) - DEALER TRANSACTIONS WITH OTHERS,SBN2024
PDSIOSB-ABSTOT,Total - ASSET-BACKED SECURITIES OTHER FINANCING ACTIVITY SECURITIES BORROWED - DEALER FINANCING.,SBN2024
PDSOOS-ABSTOT,Total - ASSET-BACKED SECURITIES OTHER FINANCING ACTIVITY SECURITIES LENT,SBN2024
PDSIOSB-CDTOT,Total - CORPORATE DEBT OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED.,SBN2024
PDSOOS-CDTOT,Total - CORPORATE DEBT OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT,SBN2024
PDSIOSB-ETOT,Total - EQUITIES OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED: OVERNIGHT AND CONTINUING.,SBN2024
PDSOOS-ETOT,Total - EQUITIES OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT,SBN2024
PDSIOSB-FGEMTOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED:,SBN2024
PDSOOS-FGEMTOT,Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT,SBN2024
PDSIOSB-OTOT,Total - OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED,SBN2024
PDSIOSB-FGCMTOT,"Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE CMBS ",SBN2024
PDSIOSB-FGMTOT,"Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE Residential MBS",SBN2024
PDSOOS-FGCMTOT,"Total - Other Financing Activity, Securities Lent: Federal Agency and GSE CMBS",SBN2024
PDSOOS-FGMTOT,"Total - Other Financing Activity, Securities Lent: Federal Agency and GSE Residential MBS",SBN2024
PDSOOS-OTOT,Total - OTHER OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT,SBN2024
PDSORA-ABSTOT,Total - Repurchase Agreements: Asset-backed securities - Triparty (excluding GCF),SBN2024
PDSORA-CDTOT,Total - Repurchase Agreements: Corporate Debt - Triparty (excluding GCF),SBN2024
PDSORA-ETOT,Total - Repurchase Agreements: Equities - Triparty (excluding GCF),SBN2024
PDSORA-FGCMTOT,Total - Repurchase Agreements: Federal Agency and GSE CMBS,SBN2024
PDSORA-FGMTOT,Total - Repurchase Agreements: Federal Agency and GSE Residential MBS,SBN2024
PDSORA-FGEMTOT,Total - Repurchase Agreements: Federal Agency and GSE Securities (excluding MBS),SBN2024
PDSORA-OTOT,Total - Repurchase Agreements: Other ,SBN2024
PDSORA-UTSTTOT,Total - Repurchase Agreements: U.S. Treasury Inflation-Protected Securities (TIPS),SBN2024
PDSORA-UTSETTOT,Total - Repurchase Agreements: U.S. Treasury securities (excluding TIPS),SBN2024
PDSIRRA-ABSTOT,Total - Reverse Repurchase Agreements: Asset-backed securities,SBN2024
PDSIRRA-CDTOT,"Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE Residential MBS",SBN2024
PDSIRRA-ETOT,Total - Reverse Repurchase Agreements: Equities,SBN2024
PDSIRRA-FGCMTOT,Total - Reverse Repurchase Agreements: Federal Agency and GSE CMBS,SBN2024
PDSIRRA-FGMTOT,Total - Reverse Repurchase Agreements: Federal Agency and GSE Residential MBS,SBN2024
PDSIRRA-FGEMTOT,Total - Reverse Repurchase Agreements: Federal Agency and GSE Securities (excluding MBS) ,SBN2024
PDSIRRA-OTOT,Total - Reverse Repurchase Agreements: Other ,SBN2024
PDSIRRA-UTSTTOT,Total - Reverse Repurchase Agreements: U.S. Treasury Inflation-Protected Securities (TIPS),SBN2024
PDSIRRA-UTSETTOT,Total - Reverse Repurchase Agreements: U.S. Treasury securities (excluding TIPS),SBN2024
PDSIOSB-UTSTTOT,Total - TREASURY INFLATION-PROTECTED SECURITIES (TIPS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED,SBN2024
PDSOOS-UTSTTOT,Total - TREASURY INFLATION-PROTECTED SECURITIES (TIPS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT,SBN2024
PDSIOSB-UTSETTOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED,SBN2024
PDSOOS-UTSETTOT,Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT,SBN2024
PDCAFHLMCNONUMBS-FDT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER",SBN2024
PDCAFHLMCNONUMBS-FRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE",SBN2024
PDCAFNMAFHLMC-FDT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER",SBN2024
PDCAFNMAFHLMC-FRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE",SBN2024
PDCAFHLMCNONUMBS-DRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL",SBN2024
PDCAFHLMCNONUMBS-OUTT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT",SBN2024
PDCAFNMAFHLMC-DRT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL",SBN2024
PDCAFNMAFHLMC-OUTT,"Total - CLASS A, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT",SBN2024
PDCBFHLMCNONUMBS-FDT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER",SBN2024
PDCBFHLMCNONUMBS-FRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE",SBN2024
PDCBFNMAFHLMC-FDT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER",SBN2024
PDCBFNMAFHLMC-FRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE",SBN2024
PDCBFHLMCNONUMBS-DRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL",SBN2024
PDCBFHLMCNONUMBS-OUTT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT",SBN2024
PDCBFNMAFHLMC-DRT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL",SBN2024
PDCBFNMAFHLMC-OUTT,"Total - CLASS B, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT",SBN2024
PDCCGNMA-FDT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO DELIVER",SBN2024
PDCCGNMA-FRT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO RECEIVE",SBN2024
PDCCGNMA-DRT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA DOLLAR ROLL",SBN2024
PDCCGNMA-OUTT,"Total - CLASS C, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA OUTRIGHT",SBN2024
PDMEFHLMCNONUMBS15-FDT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER",SBN2024
PDMEFHLMCNONUMBS15-FRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE",SBN2024
PDMEFNMAFHLMC15-FDT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER",SBN2024
PDMEFNMAFHLMC15-FRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE",SBN2024
PDMEFHLMCNONUMBS15-DRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL",SBN2024
PDMEFHLMCNONUMBS15-OUTT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT",SBN2024
PDMEFNMAFHLMC15-DRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL",SBN2024
PDMEFNMAFHLMC15-OUTT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT",SBN2024
PDMEFHLMCNONUMBS-FDT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER",SBN2024
PDMEFHLMCNONUMBS-FRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE",SBN2024
PDMEFNMAFHLMC-FDT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER",SBN2024
PDMEFNMAFHLMC-FRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE",SBN2024
PDMEGNMA-FDT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO DELIVER",SBN2024
PDMEGNMA-FRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO DELIVER",SBN2024
PDMEFHLMCNONUMBS-DRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL",SBN2024
PDMEFHLMCNONUMBS-OUTT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT",SBN2024
PDMEFNMAFHLMC-DRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL",SBN2024
PDMEFNMAFHLMC-OUTT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT",SBN2024
PDMEGNMA-DRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA DOLLAR ROLL",SBN2024
PDMEGNMA-OUTT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA DOLLAR ROLL",SBN2024
PDPOSMBSFGS-TBA," Mortgage-backed Securities: Federal Agency and GSE MBS: TBAs - Outright Positions, Long - Mortgage-backed Securities: Federal Agency and GSE MBS: TBAs - Outright Positions, Short",SBN2024
PDPOSCSBND-L13,"CORPORATE SECURITIES:  INVESTMENT GRADE BONDS, NOTES AND DEBENTURES DUE IN LESS THAN OR EQUAL TO 13 MONTHS:  DEALER POSITION - LONG. - CORPORATE SECURITIES:  INVESTMENT GRADE BONDS, NOTES AND DEBENTURES DUE IN LESS THAN OR EQUAL TO 13 MONTHS:  DEALER POSITION - SHORT.",SBN2024
PDPOSABS-ALB,ASSET-BACKED SECURITIES:  AUTOMOBILE LOAN-BACKED SECURITIES:  DEALER POSITION - LONG. - ASSET-BACKED SECURITIES:  AUTOMOBILE LOAN-BACKED SECURITIES:  DEALER POSITION - SHORT.,SBN2024
PDPOSABS-CCB,ASSET-BACKED SECURITIES:  CREDIT CARD-BACKED SECURITIES:  DEALER POSITION - LONG. - ASSET-BACKED SECURITIES:  CREDIT CARD-BACKED SECURITIES:  DEALER POSITION - SHORT.,SBN2024
PDPOSABS-OAB,ASSET-BACKED SECURITIES:  OTHER ASSET-BACKED SECURITIES:  DEALER POSITION - LONG. - ASSET-BACKED SECURITIES:  OTHER ASSET-BACKED SECURITIES:  DEALER POSITION - SHORT.,SBN2024
PDPOSABS-SLB,ASSET-BACKED SECURITIES:  STUDENT LOAN-BACKED SECURITIES:  DEALER POSITION - LONG. - ASSET-BACKED SECURITIES:  STUDENT LOAN-BACKED SECURITIES IN SHORT  POSITION.,SBN2024
PDPOSCSBND-BELG10,CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION -SHORT.,SBN2024
PDPOSCSBND-BELG13,CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION -LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION -SHORT.,SBN2024
PDPOSCSBND-BELG5L10,CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION -SHORT.,SBN2024
PDPOSCSBND-BELL13,CORPORATE SECURITIES BELOW INVESTMENT GRADE DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - SHORT.,SBN2024
PDPOSCSBND-G10,CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION - SHORT.,SBN2024
PDPOSCSBND-G5L10,CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION -SHORT.,SBN2024
