effectiveDate,type,percentRate,percentPercentile1,percentPercentile25,percentPercentile75,percentPercentile99,volumeInBillions,revisionIndicator
2025-07-22,TGCR,4.27,4.24,4.27,4.27,4.3,1092,
2025-07-23,TGCR,4.27,4.25,4.27,4.27,4.3,1088,
2026-07-24,TGCR,3.62,3.55,3.62,3.62,3.65,1208,
2026-07-23,TGCR,3.62,3.55,3.62,3.62,3.65,1206,
2026-07-22,TGCR,3.6,3.55,3.6,3.6,3.63,1219,
2026-07-21,TGCR,3.58,3.52,3.58,3.59,3.63,1218,
2026-07-20,TGCR,3.54,3.5,3.54,3.55,3.61,1243,
2026-07-17,TGCR,3.56,3.53,3.56,3.56,3.63,1248,
2026-07-16,TGCR,3.59,3.55,3.59,3.6,3.65,1255,
2026-07-15,TGCR,3.62,3.54,3.62,3.63,3.64,1276,
2026-07-14,TGCR,3.62,3.54,3.62,3.62,3.64,1273,
2026-07-13,TGCR,3.58,3.5,3.58,3.58,3.62,1277,
2026-07-10,TGCR,3.52,3.48,3.52,3.52,3.6,1277,
2026-07-09,TGCR,3.51,3.5,3.51,3.51,3.6,1281,
2026-07-08,TGCR,3.57,3.52,3.57,3.57,3.63,1279,
2026-07-07,TGCR,3.6,3.53,3.6,3.6,3.64,1278,
2026-07-06,TGCR,3.61,3.5,3.61,3.61,3.65,1264,
2026-07-02,TGCR,3.62,3.55,3.62,3.62,3.67,1256,
2026-07-01,TGCR,3.63,3.58,3.63,3.63,3.69,1248,
2026-06-30,TGCR,3.64,3.54,3.64,3.64,3.66,1245,
2026-06-29,TGCR,3.6,3.55,3.6,3.61,3.63,1232,
2026-06-26,TGCR,3.6,3.54,3.6,3.6,3.65,1256,
2026-06-25,TGCR,3.62,3.55,3.62,3.62,3.64,1259,
2026-06-24,TGCR,3.61,3.52,3.61,3.61,3.63,1242,
2026-06-23,TGCR,3.6,3.5,3.6,3.6,3.63,1251,
2026-06-22,TGCR,3.59,3.5,3.59,3.6,3.64,1259,
2026-06-18,TGCR,3.6,3.55,3.6,3.6,3.65,1282,
2026-06-17,TGCR,3.61,3.55,3.6,3.61,3.65,1276,
2026-06-16,TGCR,3.61,3.55,3.61,3.61,3.7,1276,
2026-06-15,TGCR,3.67,3.58,3.67,3.67,3.69,1267,
2026-06-12,TGCR,3.63,3.54,3.63,3.64,3.66,1256,
2026-06-11,TGCR,3.58,3.54,3.58,3.59,3.63,1241,
2026-06-10,TGCR,3.57,3.52,3.57,3.57,3.62,1254,
2026-06-09,TGCR,3.59,3.52,3.59,3.59,3.64,1254,
2026-06-08,TGCR,3.61,3.53,3.61,3.61,3.64,1254,
2026-06-05,TGCR,3.61,3.55,3.6,3.61,3.65,1265,
2026-06-04,TGCR,3.59,3.55,3.59,3.59,3.63,1275,
2026-06-03,TGCR,3.59,3.55,3.59,3.59,3.64,1268,
2026-06-02,TGCR,3.6,3.55,3.6,3.61,3.66,1275,
2026-06-01,TGCR,3.63,3.57,3.63,3.64,3.65,1278,
2026-05-29,TGCR,3.61,3.55,3.61,3.62,3.63,1277,
2026-05-28,TGCR,3.6,3.55,3.6,3.6,3.64,1274,
2026-05-27,TGCR,3.62,3.55,3.62,3.62,3.64,1258,
2026-05-26,TGCR,3.61,3.5,3.61,3.61,3.64,1261,
2026-05-22,TGCR,3.53,3.48,3.52,3.53,3.6,1249,
2026-05-21,TGCR,3.51,3.45,3.5,3.51,3.59,1255,
2026-05-20,TGCR,3.5,3.45,3.5,3.51,3.55,1255,
2026-05-19,TGCR,3.51,3.46,3.51,3.51,3.54,1249,
2026-05-18,TGCR,3.52,3.49,3.52,3.52,3.56,1254,
